title,link,company,salary,location
"Senior Software Engineer, Fullstack (Remote-friendly but US only)",https://www.ycombinator.com/companies/mixpanel/jobs/SxGxBDpJe-senior-software-engineer-fullstack-remote-friendly-but-us-only,Mixpanel,$212K - $259K,"San Francisco, CA, US / New York, NY, US / Seattle, WA, US / Remote (San Francisco, CA, US; Seattle, WA, US; New York, NY, US; CO, US; TX, US)"
Director of Security and Compliance,https://www.ycombinator.com/companies/newfront-insurance/jobs/vQGIOIb-director-of-security-and-compliance,Newfront Insurance,$197K - $247K,"San Francisco, CA, US / San Mateo, CA, US / Remote (US)"
Brand Designer,https://www.ycombinator.com/companies/odeko/jobs/UtpXADM-brand-designer,Odeko,,Remote / Remote (US)
Senior/Staff Fullstack Engineer - Marketplace,https://www.ycombinator.com/companies/odeko/jobs/7gKd9sh-senior-staff-fullstack-engineer-marketplace,Odeko,,Remote / Remote (US)
Senior DevOps Engineer,https://www.ycombinator.com/companies/odeko/jobs/GUGWECd-senior-devops-engineer,Odeko,,Remote / Remote (US)
"Senior/Principal Engineer/Manager, Frontend Engineering",https://www.ycombinator.com/companies/razorpay/jobs/Xpdifpfmk-senior-principal-engineer-manager-frontend-engineering,Razorpay,6+ years,"Bangalore, Karnataka"
Senior Infrastructure Engineer,https://www.ycombinator.com/companies/razorpay/jobs/zUemCTA1N-senior-infrastructure-engineer,Razorpay,6+ years,Bengaluru
Senior / Principal Engineers,https://www.ycombinator.com/companies/razorpay/jobs/GQiEGb6ug-senior-principal-engineers,Razorpay,6+ years,bangalore
Customer Support Supervisor,https://www.ycombinator.com/companies/rippling/jobs/OoQFS8V-customer-support-supervisor,Rippling,6+ years,Remote
"Product Lead, Platform, Reporting & Analytics",https://www.ycombinator.com/companies/rippling/jobs/8ASPI6G-product-lead-platform-reporting-analytics,Rippling,$159K - $278K,"San Francisco, CA, US"
"Product Lead, Time Products",https://www.ycombinator.com/companies/rippling/jobs/p58OaK4-product-lead-time-products,Rippling,$141K - $247K,"San Francisco, CA, US"
"Product Design Lead, Global Payroll",https://www.ycombinator.com/companies/rippling/jobs/USJIYst-product-design-lead-global-payroll,Rippling,$138K - $242K,"New York, NY, US"
"Product Design Lead, IT Products",https://www.ycombinator.com/companies/rippling/jobs/7A5Rnn5-product-design-lead-it-products,Rippling,$159K - $278K,"San Francisco, CA, US / New York, NY, US / Seattle, WA, US"
Staff Full Stack (Backend) Software Engineer - Time Products,https://www.ycombinator.com/companies/rippling/jobs/5y45Fqp-staff-full-stack-backend-software-engineer-time-products,Rippling,$162K - $284K,"San Francisco, CA, US"
Senior Customer Engineer,https://www.ycombinator.com/companies/rippling/jobs/NLjkT5z-senior-customer-engineer,Rippling,$126K - $221K,"San Francisco, CA, US"
"Senior Manager, Customer Engineering",https://www.ycombinator.com/companies/rippling/jobs/HVdWgir-senior-manager-customer-engineering,Rippling,$156K - $273K,"San Francisco, CA, US"
"Director of Product Management, Platform",https://www.ycombinator.com/companies/rippling/jobs/qirH7DW-director-of-product-management-platform,Rippling,$180K - $315K,"San Francisco, CA, US"
Senior Engineering Manager - HRIS Company Team,https://www.ycombinator.com/companies/rippling/jobs/RX6uLCL-senior-engineering-manager-hris-company-team,Rippling,$186K - $326K,"San Francisco, CA, US"
"Account Executive, Mid Market - Central",https://www.ycombinator.com/companies/rippling/jobs/dZJD77T-account-executive-mid-market-central,Rippling,$215K,"Austin, TX, US"
"Account Executive, Mid Market - WEST",https://www.ycombinator.com/companies/rippling/jobs/TIEoAOi-account-executive-mid-market-west,Rippling,$215K,"San Francisco, CA, US"
"Account Executive, Mid Market - EAST",https://www.ycombinator.com/companies/rippling/jobs/VRiSVvs-account-executive-mid-market-east,Rippling,$215K,"New York, NY, US"
"Sales Manager, SMB - IT Cloud",https://www.ycombinator.com/companies/rippling/jobs/rT7aZDh-sales-manager-smb-it-cloud,Rippling,3+ years,"Bengaluru, KA, IN"
Customer Support Specialist,https://www.ycombinator.com/companies/rippling/jobs/Ce9hyDF-customer-support-specialist,Rippling,₹950K - ₹960K INR,"Bengaluru, KA, IN"
"Senior Engineering Manager, Platform ",https://www.ycombinator.com/companies/scale-ai/jobs/iu4D1Yn-senior-engineering-manager-platform,Scale Ai,$213K - $265K,"San Francisco, CA and New York / Seattle, WA, US"
